title,year,audience_score,critics_score
city of ghosts,2017,8.3,9.8
asteroid city,2023,6.2,7.6
the lost city,2022,8.3,7.8
fabricated city,2017,7.5,7.1
city hall,2020,6.7,9.8
john mulaney,2018,9.1,10.0
gun city,2018,4.6,7.1
bad city,2022,7.6,7.7
asura,2016,7.9,7.3
city of joy,2016,7.1,10.0
city of tiny lights,2016,4.0,6.1
desperate souls dark city and the legend of midnight cowboy,2022,7.1,9.1
blues big city adventure,2022,8.4,8.3
dawson city,2016,7.0,10.0
bomb city,2017,8.2,8.2
oklahoma city,2017,8.8,9.7
zone 414  city of robots,2021,3.9,1.7
cut throat city,2020,3.8,7.2
citizen jane,2016,6.9,9.5
charm city,2018,9.1,10.0
karl marx city,2016,7.2,9.6
dark city beneath the beat,2020,8.3,10.0
in the last days of the city,2016,8.9,8.0
ballad of a small player,2025,5.0,4.7
tron,2025,8.5,5.3
one battle after another,2025,8.5,9.5
it was just an accident,2025,8.2,9.7
kantara,2025,9.2,8.3
on becoming a guinea fowl,2024,6.7,10.0
anniversary,2025,7.9,6.9
secret mall apartment,2024,8.8,9.8
a little prayer,2023,9.2,9.3
anemone,2025,5.9,5.4
adulthood,2025,8.0,6.7
a big bold beautiful journey,2025,5.9,3.7
clown in a cornfield,2025,5.7,7.4
still,2023,9.5,9.9
aftersun,2022,8.1,9.6
40 acres,2024,9.4,8.9
last seen alive,2022,4.7,1.4
night always comes,2025,4.0,5.1
americana,2025,7.7,6.5
all of you,2024,6.8,7.1
it comes at night,2017,4.4,8.8
a working man,2025,8.7,4.7
truth  treason,2025,9.7,8.6
things heard  seen,2021,2.3,3.9
once upon a time in hollywood,2019,7.0,8.6
glass onion,2022,9.2,9.1
are you there god its me margaret,2023,9.4,9.9
about my father,2023,8.1,3.7
captain america,2025,7.6,4.6
wallace  gromit,2024,9.1,10.0
everything everywhere all at once,2022,7.9,9.3
tigers are not afraid,2017,7.9,9.7
nightmare alley,2021,6.8,8.0
a complete unknown,2024,9.5,8.2
all of us strangers,2023,9.1,9.6
arrival,2016,8.3,9.4
a quiet place,2018,8.3,9.6
lilo  stitch,2025,9.2,7.2
anora,2024,8.4,9.3
avengers,2019,9.0,9.4
anyone but you,2023,8.7,5.3
a minecraft movie,2025,8.5,4.7
after,2019,6.4,1.8
five nights at freddys,2023,8.6,3.3
a quiet place part ii,2021,9.2,9.1
abigail,2024,8.3,8.3
gonjiam,2018,7.5,9.2
a silent voice,2016,9.4,9.5
to catch a killer,2023,6.0,5.3
kantara,2022,7.9,8.3
arcadian,2024,5.6,7.8
eye for an eye,2025,8.9,9.2
a nice indian boy,2024,9.7,9.5
portrait of a lady on fire,2019,9.2,9.7
no one gets out alive,2021,3.9,6.8
in a violent nature,2024,4.4,7.8
we have a ghost,2023,6.1,4.4
a man called otto,2022,9.7,7.0
a widows game,2025,6.0,4.6
the weekend away,2022,3.7,4.2
ad astra,2019,4.0,8.3
anatomy of a fall,2023,9.1,9.6
to all the boys ive loved before,2018,8.4,9.6
atlas,2024,4.7,1.8
what keeps you alive,2018,4.5,8.2
get away,2024,4.7,7.6
back in action,2025,6.0,3.0
apostle,2018,5.3,7.9
all we imagine as light,2024,7.1,10.0
you wont be alone,2022,7.3,9.3
annabelle,2017,6.8,7.0
american sweatshop,2025,5.9,8.1
bonhoeffer,2024,9.2,6.6
thor,2022,7.6,6.3
alien,2017,5.5,6.5
ordinary angels,2024,9.9,8.4
argylle,2024,7.0,3.3
amsterdam,2022,6.1,3.1
